State,AccountLength,AreaCode,Phone,IntlPlan,VMailPlan,VMailMessage,DayMins,DayCalls,DayCharge,EveMins,EveCalls,EveCharge,NightMins,NightCalls,NightCharge,IntlMins,IntlCalls,IntlCharge,CustServCalls,Churn
TX,144,510,389-5009,no,no,0,135.0,97,22.95,199.0,94,16.92,202.2,94,9.1,12.0,2,3.24,0,False
SC,110,408,340-5998,yes,no,0,150.4,114,25.57,227.4,116,19.33,164.9,99,7.42,10.1,5,2.73,1,True
MI,123,510,312-2313,yes,no,0,132.6,114,22.54,146.5,88,12.45,154.2,108,6.94,7.8,2,2.11,5,True
NC,142,510,315-6218,yes,yes,21,128.3,117,21.81,258.6,112,21.98,181.3,112,8.16,12.2,3,3.29,0,True
PA,128,408,329-9010,no,no,0,172.1,94,29.26,161.2,89,13.7,181.6,110,8.17,12.3,2,3.32,3,False
GA,114,408,361-4966,no,no,0,144.0,94,24.48,212.6,119,18.07,159.9,101,7.2,7.3,3,1.97,1,False
SC,97,408,377-2055,no,yes,30,207.9,97,35.34,254.5,108,21.63,221.0,99,9.95,13.9,4,3.75,4,True
IL,69,408,313-7850,yes,yes,28,250.1,103,42.52,217.9,99,18.52,236.9,108,10.66,9.8,2,2.65,2,True
LA,113,408,344-1363,no,yes,20,198.2,93,33.69,188.6,75,16.03,221.5,103,9.97,12.8,4,3.46,1,False
GA,80,415,362-1303,no,yes,17,144.5,92,24.57,195.4,88,16.61,238.2,106,10.72,9.6,2,2.59,4,False
WA,101,408,359-7842,yes,yes,32,213.4,93,36.28,205.9,102,17.5,234.9,114,10.57,8.1,4,2.19,4,True
MI,65,510,368-8342,yes,no,0,165.4,105,28.12,200.8,78,17.07,236.2,118,10.63,9.3,5,2.51,3,False
OH,61,415,395-3703,no,no,0,229.9,109,39.08,254.0,77,21.59,224.2,99,10.09,13.1,6,3.54,5,False
WI,95,510,384-7903,yes,yes,39,174.7,112,29.7,245.8,75,20.89,164.6,109,7.41,9.8,6,2.65,3,False
AZ,147,408,355-8684,no,no,0,212.3,102,36.09,210.8,107,17.92,228.6,112,10.29,12.7,3,3.43,1,False
TX,118,408,327-8307,yes,yes,29,155.2,123,26.38,205.1,104,17.43,219.4,90,9.87,13.8,2,3.73,0,True
OH,82,415,340-6355,yes,no,0,188.3,119,32.01,214.4,113,18.22,150.7,89,6.78,9.1,2,2.46,4,False
PA,87,510,388-3648,yes,yes,29,151.6,120,25.77,233.4,93,19.84,179.8,112,8.09,7.3,6,1.97,5,True
LA,134,408,322-7359,yes,yes,21,188.7,121,32.08,190.2,80,16.17,190.4,96,8.57,7.6,4,2.05,0,True
SC,144,408,388-9458,no,no,0,256.4,86,43.59,212.6,83,18.07,207.4,88,9.33,7.5,5,2.03,4,True
TN,83,510,394-8990,yes,yes,24,230.7,80,39.22,156.7,84,13.32,154.3,109,6.94,9.0,6,2.43,1,True
CA,136,510,321-3984,yes,yes,16,122.7,95,20.86,240.5,92,20.44,184.9,102,8.32,9.9,3,2.67,0,True
GA,89,415,312-1365,no,yes,36,126.9,122,21.57,164.7,91,14.0,209.2,86,9.41,11.7,4,3.16,1,False
AZ,95,510,305-8766,yes,no,0,149.4,82,25.4,141.7,79,12.04,164.6,115,7.41,10.6,2,2.86,4,True
IN,148,415,356-7224,yes,yes,40,201.8,110,34.31,148.8,78,12.65,185.0,108,8.32,11.6,6,3.13,3,True
NC,141,408,372-8110,yes,yes,33,161.8,111,27.51,179.7,89,15.27,161.1,86,7.25,9.9,2,2.67,5,True
OH,82,510,327-5972,no,no,0,238.4,112,40.53,213.1,96,18.11,161.6,91,7.27,10.0,3,2.7,0,True
TX,103,415,370-4875,yes,yes,16,234.3,91,39.83,214.5,88,18.23,165.6,106,7.45,7.8,5,2.11,1,False
NY,110,510,332-2332,no,yes,15,233.9,80,39.76,235.3,101,20.0,225.1,85,10.13,7.4,2,2.0,3,True
CA,62,510,326-7702,no,yes,24,206.6,124,35.12,258.7,114,21.99,197.3,93,8.88,8.8,4,2.38,3,False
TN,138,408,377-2363,no,yes,33,206.1,86,35.04,148.9,118,12.66,204.0,97,9.18,7.2,7,1.94,3,False
SC,145,510,397-3450,yes,yes,36,237.8,109,40.43,185.3,79,15.75,241.9,106,10.89,8.7,5,2.35,5,True
NC,92,510,380-8626,no,no,0,255.8,87,43.49,144.3,97,12.27,198.8,104,8.95,9.8,3,2.65,2,True
CO,88,415,341-6798,no,no,0,232.0,104,39.44,248.3,112,21.11,170.4,90,7.67,10.7,7,2.89,5,False
WA,83,415,324-2379,no,yes,20,237.0,99,40.29,218.5,76,18.57,165.4,99,7.44,11.8,2,3.19,4,False
TN,125,510,345-5801,no,yes,24,135.1,102,22.97,249.5,82,21.21,231.6,86,10.42,9.5,5,2.57,5,True
SC,109,415,300-8032,no,yes,22,251.4,87,42.74,154.8,101,13.16,169.7,86,7.64,12.0,3,3.24,0,True
OH,103,415,365-6489,no,no,0,221.5,118,37.66,237.2,113,20.16,195.6,112,8.8,13.4,5,3.62,4,True
MO,101,408,318-3902,no,no,0,234.6,90,39.88,207.3,108,17.62,211.0,106,9.49,10.9,5,2.94,3,False
PA,111,510,324-3054,no,yes,23,249.0,82,42.33,208.9,85,17.76,197.4,89,8.88,10.5,6,2.83,4,True
NC,113,408,368-4669,no,no,0,234.8,106,39.92,204.1,116,17.35,181.4,99,8.16,9.3,7,2.51,3,True
VA,109,408,395-7728,no,yes,25,193.5,115,32.9,233.2,76,19.82,181.9,108,8.19,11.5,2,3.11,2,False
NY,88,415,319-6001,no,yes,33,239.3,81,40.68,207.8,95,17.66,237.7,113,10.7,8.3,6,2.24,1,False
SC,120,408,329-6125,no,no,0,258.9,93,44.01,198.6,75,16.88,205.4,109,9.24,9.6,4,2.59,0,True
IL,55,510,336-9832,yes,yes,22,160.4,111,27.27,173.9,83,14.78,191.2,115,8.6,12.6,3,3.4,2,False
IL,136,408,352-1416,no,no,0,126.2,93,21.45,182.1,102,15.48,154.1,104,6.93,9.8,4,2.65,4,False
MO,95,415,330-8288,yes,yes,17,231.1,93,39.29,190.3,81,16.18,165.0,117,7.42,9.8,2,2.65,4,False
OH,96,408,322-7572,yes,yes,36,132.0,87,22.44,161.4,82,13.72,208.8,106,9.4,10.3,5,2.78,2,False
WI,52,415,341-5144,no,no,0,173.6,83,29.51,247.1,95,21.0,202.9,101,9.13,9.9,7,2.67,1,False
AZ,100,415,322-6378,no,yes,33,158.2,87,26.89,253.5,108,21.55,172.4,120,7.76,12.6,4,3.4,2,False
WA,57,415,345-2134,yes,yes,28,137.1,106,23.31,173.1,109,14.71,182.1,111,8.19,13.3,7,3.59,1,True
IN,138,408,347-9639,no,yes,22,180.1,113,30.62,256.9,100,21.84,152.5,117,6.86,13.2,2,3.56,5,True
PA,112,408,377-5934,yes,yes,16,210.0,88,35.7,177.5,120,15.09,191.0,104,8.59,12.0,3,3.24,0,True
WA,103,510,305-3553,no,no,0,146.8,104,24.96,233.7,96,19.86,249.2,95,11.21,8.4,3,2.27,2,False
IN,60,408,313-6571,yes,yes,20,176.3,88,29.97,235.5,78,20.02,210.3,110,9.46,12.5,4,3.38,3,True
PA,147,510,322-7397,yes,no,0,147.1,113,25.01,224.1,95,19.05,227.4,116,10.23,9.1,2,2.46,3,False
GA,124,510,342-3610,yes,no,0,239.6,93,40.73,205.0,89,17.43,206.3,102,9.28,11.0,7,2.97,5,False
VA,131,415,336-1133,yes,yes,36,124.1,97,21.1,223.7,79,19.01,199.0,96,8.96,9.5,4,2.57,0,True
WI,65,510,386-1420,no,no,0,239.5,104,40.72,146.0,96,12.41,218.8,103,9.85,8.4,4,2.27,1,True
LA,108,415,338-9829,no,yes,33,245.6,102,41.75,200.1,80,17.01,202.5,110,9.11,13.4,4,3.62,5,False
PA,60,415,324-2910,yes,no,0,238.4,115,40.53,188.0,118,15.98,237.2,104,10.67,12.4,2,3.35,3,True
IN,114,510,360-5469,no,yes,40,233.7,122,39.73,234.6,90,19.94,220.7,104,9.93,8.8,3,2.38,4,False
GA,54,415,324-2797,no,yes,37,231.1,116,39.29,196.6,93,16.71,240.7,120,10.83,7.9,2,2.13,3,False
WI,100,415,372-8958,yes,no,0,230.0,119,39.1,199.4,117,16.95,218.7,107,9.84,8.2,5,2.21,4,True
GA,112,408,337-2997,yes,no,0,239.4,124,40.7,181.4,96,15.42,156.7,86,7.05,13.6,6,3.67,4,False
GA,87,510,310-6950,no,no,0,156.0,98,26.52,186.9,112,15.89,193.1,113,8.69,10.2,7,2.75,2,False
CO,110,408,357-6739,no,no,0,187.4,101,31.86,161.2,117,13.7,201.1,88,9.05,12.2,5,3.29,2,False
MI,84,408,359-5575,yes,yes,30,252.9,118,42.99,185.8,100,15.79,241.2,85,10.85,8.5,5,2.29,0,False
MI,76,510,300-5553,yes,yes,16,139.9,124,23.78,259.3,118,22.04,242.9,87,10.93,10.0,3,2.7,2,True
MI,146,510,323-1877,yes,yes,19,161.2,103,27.4,192.3,114,16.35,195.7,92,8.81,7.8,2,2.11,1,False
NC,85,415,315-4187,no,yes,19,177.4,108,30.16,192.1,79,16.33,213.2,97,9.59,11.9,4,3.21,1,False
MO,83,408,330-6163,yes,no,0,145.7,86,24.77,162.4,99,13.8,218.5,112,9.83,8.0,7,2.16,4,False
PA,91,510,372-1044,yes,no,0,253.7,100,43.13,242.8,96,20.64,237.0,120,10.66,11.1,2,3.0,4,True
VA,146,415,310-5965,no,yes,28,192.4,125,32.71,255.4,80,21.71,189.5,119,8.53,7.8,6,2.11,5,False
IN,98,510,382-2836,no,no,0,164.6,105,27.98,244.1,80,20.75,178.3,102,8.02,10.8,5,2.92,2,False
AZ,53,510,334-2632,no,no,0,143.8,114,24.45,176.9,90,15.04,247.3,118,11.13,13.6,6,3.67,3,False
GA,72,415,350-3039,no,no,0,171.1,100,29.09,181.6,85,15.44,211.4,96,9.51,9.0,7,2.43,0,False
PA,121,510,322-3016,yes,yes,40,169.2,83,28.76,232.4,80,19.75,211.0,115,9.49,13.1,5,3.54,0,True
IN,99,408,368-1010,yes,no,0,241.5,109,41.05,165.6,81,14.08,165.0,97,7.42,10.3,7,2.78,0,True
WA,54,408,347-1044,no,yes,29,256.5,122,43.61,210.3,85,17.88,230.8,105,10.39,11.5,5,3.11,1,False
FL,87,510,364-8708,yes,no,0,157.3,89,26.74,231.9,90,19.71,241.1,113,10.85,9.2,7,2.48,5,False
TN,142,510,341-6712,yes,yes,35,223.7,104,38.03,255.1,119,21.68,166.0,113,7.47,10.4,4,2.81,4,False
NY,123,408,328-6337,yes,yes,34,185.1,122,31.47,176.1,86,14.97,181.7,86,8.18,7.1,5,1.92,1,True
FL,64,408,360-2901,no,yes,20,245.3,90,41.7,155.9,75,13.25,211.4,118,9.51,8.5,6,2.29,3,True
MO,102,510,303-8149,no,no,0,229.2,107,38.96,150.7,120,12.81,207.0,111,9.31,13.9,7,3.75,4,False
IN,123,408,374-3453,yes,no,0,173.9,97,29.56,237.9,76,20.22,224.6,110,10.11,10.8,4,2.92,3,False
LA,88,415,365-8821,no,no,0,204.8,109,34.82,236.2,104,20.08,219.9,92,9.9,8.3,3,2.24,2,False
MO,64,415,332-6800,yes,no,0,175.2,97,29.78,165.6,109,14.08,164.4,113,7.4,11.7,4,3.16,5,False
TX,135,415,372-4386,no,no,0,230.9,112,39.25,191.9,94,16.31,155.0,89,6.97,8.4,3,2.27,3,True
MO,74,510,392-1539,yes,yes,20,218.5,101,37.15,150.4,84,12.78,234.3,85,10.54,9.5,4,2.57,4,False
CO,125,510,347-4586,yes,no,0,240.9,120,40.95,161.1,104,13.69,156.7,120,7.05,8.8,2,2.38,2,False
MI,123,510,364-4961,yes,yes,21,212.5,120,36.12,204.3,102,17.37,193.6,94,8.71,8.5,2,2.29,5,False
WA,130,415,397-2255,yes,no,0,197.8,116,33.63,154.0,98,13.09,239.0,87,10.75,11.7,6,3.16,4,False
IL,129,408,342-7430,no,yes,39,208.5,99,35.45,245.5,108,20.87,189.6,86,8.53,10.2,6,2.75,1,False
PA,94,415,378-8331,no,yes,20,245.4,98,41.72,143.4,82,12.19,189.6,111,8.53,10.3,6,2.78,1,False
AZ,150,408,318-5180,yes,no,0,140.7,87,23.92,255.6,97,21.73,165.0,103,7.42,9.5,7,2.57,2,True
VA,50,510,385-5050,yes,yes,36,249.1,111,42.35,256.1,89,21.77,153.6,119,6.91,9.1,4,2.46,5,False
AZ,109,408,332-4274,yes,yes,28,158.6,92,26.96,230.2,103,19.57,162.4,101,7.31,7.8,4,2.11,2,True
NY,137,408,300-1979,no,no,0,122.0,85,20.74,204.9,116,17.42,237.5,101,10.69,13.6,3,3.67,3,False
TN,128,408,386-5251,no,yes,16,140.6,87,23.9,251.4,106,21.37,161.6,104,7.27,9.0,6,2.43,3,False
WI,59,510,320-4797,no,yes,34,217.7,92,37.01,190.5,80,16.19,190.9,86,8.59,13.0,6,3.51,3,False
GA,126,408,374-1523,yes,yes,20,154.0,93,26.18,234.5,120,19.93,238.2,105,10.72,9.7,4,2.62,5,False
WA,142,510,323-5654,no,yes,16,166.5,92,28.31,166.2,120,14.13,199.3,105,8.97,13.7,4,3.7,2,False
GA,65,408,367-5425,no,yes,23,211.7,84,35.99,215.6,117,18.33,228.8,88,10.3,10.3,7,2.78,4,True
FL,144,408,331-3481,yes,yes,16,215.4,101,36.62,160.7,112,13.66,204.8,91,9.22,7.2,4,1.94,2,False
NY,120,415,327-1645,no,no,0,126.8,117,21.56,179.4,91,15.25,189.6,85,8.53,10.4,6,2.81,2,False
FL,103,510,346-8446,yes,no,0,187.1,81,31.81,153.8,78,13.07,187.9,108,8.46,12.3,6,3.32,5,False
TX,123,415,348-3754,no,yes,24,188.9,116,32.11,187.7,80,15.95,231.1,119,10.4,13.1,6,3.54,1,False
VA,146,415,315-6148,yes,no,0,244.2,80,41.51,181.6,119,15.44,231.2,99,10.4,13.6,2,3.67,5,False
OH,65,415,374-5406,yes,yes,25,211.6,119,35.97,163.5,101,13.9,213.9,101,9.63,11.2,2,3.02,4,True
TX,148,408,374-6134,yes,yes,21,212.6,112,36.14,222.9,80,18.95,174.6,88,7.86,8.0,6,2.16,2,True
WI,93,510,331-4201,no,no,0,183.9,103,31.26,215.1,91,18.28,238.0,85,10.71,13.3,7,3.59,2,False
NC,125,415,360-3464,no,yes,34,256.3,80,43.57,186.4,112,15.84,194.2,113,8.74,8.5,2,2.29,3,False
MO,78,510,355-1011,no,yes,27,244.4,115,41.55,241.4,101,20.52,226.7,111,10.2,8.4,7,2.27,3,False
CO,142,510,362-3992,yes,no,0,143.8,96,24.45,193.7,113,16.46,217.5,116,9.79,7.8,5,2.11,0,False
MO,131,408,359-6471,yes,yes,39,193.1,97,32.83,160.8,77,13.67,191.6,89,8.62,12.3,4,3.32,1,True
CA,54,408,390-7668,yes,no,0,142.4,118,24.21,207.4,116,17.63,169.5,113,7.63,13.8,2,3.73,0,False
LA,113,408,344-2562,no,no,0,256.3,92,43.57,253.3,117,21.53,150.4,85,6.77,8.2,2,2.21,0,True
PA,62,510,327-1362,no,no,0,154.9,119,26.33,211.4,113,17.97,194.9,90,8.77,10.8,4,2.92,2,False
TX,138,415,355-3102,no,yes,20,202.5,119,34.43,190.1,81,16.16,223.9,110,10.08,11.2,3,3.02,3,False
TX,133,415,358-1410,yes,no,0,185.8,115,31.59,209.6,91,17.82,159.3,114,7.17,11.7,5,3.16,3,True
MI,57,408,395-6728,no,no,0,250.2,99,42.53,231.6,96,19.69,209.8,107,9.44,13.7,3,3.7,5,False
AZ,147,408,330-7436,no,no,0,207.8,111,35.33,204.3,119,17.37,179.4,91,8.07,9.1,7,2.46,5,True
VA,71,510,355-7215,no,no,0,148.3,105,25.21,178.0,101,15.13,210.7,104,9.48,10.0,4,2.7,3,False
NY,72,415,348-1896,no,yes,31,184.0,97,31.28,204.4,100,17.37,242.3,91,10.9,11.6,5,3.13,1,False
MI,58,408,367-6149,no,yes,16,123.4,113,20.98,152.1,86,12.93,222.5,113,10.01,11.6,6,3.13,5,False
CA,52,510,320-5951,no,no,0,216.9,97,36.87,210.8,115,17.92,192.2,119,8.65,9.6,6,2.59,2,False
CA,123,415,304-9194,no,no,0,146.5,108,24.91,236.8,114,20.13,197.2,85,8.87,12.3,3,3.32,5,True
IN,137,408,324-7847,no,yes,38,236.5,115,40.21,252.8,116,21.49,159.7,86,7.19,11.8,7,3.19,4,False
WA,70,510,367-2899,no,yes,32,203.4,98,34.58,205.0,75,17.43,214.3,97,9.64,12.7,5,3.43,2,False
MO,55,510,328-3660,no,yes,29,167.6,101,28.49,158.0,83,13.43,220.5,116,9.92,9.0,2,2.43,5,False
MO,136,408,302-4097,yes,yes,27,190.1,93,32.32,174.9,118,14.87,249.9,100,11.25,12.6,6,3.4,4,True
AZ,103,408,397-3554,no,no,0,248.4,100,42.23,211.7,95,17.99,170.2,120,7.66,7.9,2,2.13,4,False
WA,77,415,327-8122,yes,no,0,147.9,85,25.14,146.0,81,12.41,223.3,104,10.05,12.4,4,3.35,4,True
SC,110,408,315-5782,no,yes,37,152.3,84,25.89,235.4,89,20.01,193.7,100,8.72,13.3,4,3.59,3,False
GA,90,510,354-2595,yes,yes,27,198.3,103,33.71,198.5,88,16.87,188.7,95,8.49,7.5,4,2.03,5,False
WI,69,415,372-3002,no,no,0,199.7,95,33.95,206.6,94,17.56,211.2,89,9.5,9.9,2,2.67,2,False
PA,81,415,324-6140,no,yes,26,176.0,105,29.92,256.3,81,21.79,169.5,120,7.63,11.0,5,2.97,1,False
IN,113,415,350-6843,no,no,0,170.2,95,28.93,259.6,78,22.07,219.5,112,9.88,10.4,3,2.81,4,True
CO,89,408,371-5889,yes,no,0,168.1,121,28.58,153.1,97,13.01,222.4,119,10.01,10.8,6,2.92,0,True
NY,119,408,321-5579,yes,yes,17,168.4,105,28.63,186.9,94,15.89,244.6,102,11.01,10.1,3,2.73,1,False
TN,136,415,324-5315,no,no,0,136.7,85,23.24,157.6,96,13.4,179.6,87,8.08,12.1,4,3.27,2,False
MI,147,510,312-5050,yes,yes,18,248.0,102,42.16,211.5,80,17.98,195.6,113,8.8,8.8,3,2.38,4,False
AZ,150,415,308-2503,yes,no,0,131.9,80,22.42,158.5,106,13.47,228.1,101,10.26,10.5,6,2.83,5,True
PA,80,415,382-4879,yes,yes,16,259.0,105,44.03,144.7,90,12.3,221.0,96,9.95,10.0,7,2.7,3,True
NC,96,408,312-4593,no,yes,37,166.7,118,28.34,147.3,85,12.52,212.9,116,9.58,9.1,3,2.46,2,False
TN,136,415,302-5937,yes,yes,16,191.0,122,32.47,164.7,96,14.0,183.7,94,8.27,11.2,7,3.02,4,False
PA,76,510,306-2576,yes,yes,28,218.9,113,37.21,156.1,113,13.27,229.0,119,10.3,7.0,6,1.89,4,False
LA,124,408,374-3983,no,yes,26,220.9,85,37.55,150.6,94,12.8,175.7,112,7.91,10.2,6,2.75,2,False
WI,112,510,364-4314,yes,yes,15,226.4,112,38.49,195.6,75,16.63,224.4,111,10.1,8.8,3,2.38,5,True
NY,72,510,375-7171,yes,yes,29,196.7,102,33.44,241.0,109,20.49,197.9,105,8.91,12.3,6,3.32,4,True
MO,136,415,374-1454,yes,yes,37,136.1,109,23.14,202.3,95,17.2,188.2,104,8.47,10.2,3,2.75,1,True
TX,97,510,338-8745,no,yes,23,243.7,92,41.43,233.2,89,19.82,169.3,108,7.62,9.0,7,2.43,0,False
SC,114,510,361-4791,no,no,0,172.5,125,29.33,179.5,112,15.26,198.7,112,8.94,10.2,7,2.75,4,True
CA,98,415,361-9112,yes,yes,17,184.7,122,31.4,144.6,100,12.29,227.8,90,10.25,12.7,2,3.43,0,False
SC,139,408,390-5719,no,yes,18,145.3,106,24.7,196.5,76,16.7,224.0,116,10.08,11.8,3,3.19,4,False
OH,132,510,338-4588,yes,no,0,141.6,98,24.07,183.9,107,15.63,168.1,110,7.56,11.3,6,3.05,5,False
WI,147,415,376-8439,no,no,0,161.3,91,27.42,195.8,82,16.64,172.4,100,7.76,7.5,6,2.03,5,True
TN,138,408,324-9335,yes,yes,39,145.2,116,24.68,153.1,104,13.01,238.3,105,10.72,13.8,2,3.73,0,False
LA,58,510,392-2609,no,yes,30,236.9,106,40.27,208.8,111,17.75,228.9,105,10.3,12.4,4,3.35,4,False
SC,122,510,358-4055,yes,yes,26,170.4,100,28.97,176.7,106,15.02,226.0,108,10.17,11.2,2,3.02,0,True
TN,117,510,325-6033,no,no,0,254.8,81,43.32,219.3,107,18.64,194.4,89,8.75,7.6,5,2.05,0,True
IL,68,408,380-8172,yes,no,0,188.0,80,31.96,196.6,111,16.71,163.3,100,7.35,11.6,5,3.13,3,True
LA,133,415,389-3985,no,no,0,123.7,120,21.03,140.8,81,11.97,189.7,88,8.54,12.3,4,3.32,5,False
SC,116,510,310-2674,yes,no,0,182.8,113,31.08,196.7,99,16.72,182.5,114,8.21,8.6,5,2.32,3,True
CO,119,408,323-2223,no,yes,27,140.8,116,23.94,201.1,109,17.09,237.3,119,10.68,9.2,5,2.48,3,False
NC,79,510,369-5465,yes,no,0,217.6,123,36.99,252.8,76,21.49,199.5,88,8.98,11.6,4,3.13,0,True
MO,147,408,329-3737,no,no,0,200.0,103,34.0,157.5,76,13.39,225.7,104,10.16,10.6,6,2.86,3,False
MO,121,510,373-3289,yes,yes,40,245.7,98,41.77,152.3,105,12.95,238.8,87,10.75,12.3,7,3.32,0,False
FL,62,510,362-5627,no,no,0,258.7,109,43.98,171.1,84,14.54,167.9,106,7.56,8.4,3,2.27,5,False
CA,123,415,342-6465,yes,yes,36,203.4,94,34.58,229.2,101,19.48,231.2,101,10.4,13.3,2,3.59,5,True
SC,79,408,372-7589,no,no,0,131.4,112,22.34,225.6,118,19.18,234.0,100,10.53,8.7,2,2.35,1,False
AZ,78,415,360-8322,no,yes,23,122.8,81,20.88,253.5,114,21.55,172.2,86,7.75,11.5,6,3.11,0,False
WI,136,408,358-6029,yes,no,0,169.9,107,28.88,222.8,115,18.94,214.5,87,9.65,12.0,6,3.24,2,True
WA,50,510,330-5882,yes,yes,34,184.4,116,31.35,150.3,107,12.78,178.1,96,8.01,10.3,3,2.78,5,False
MI,143,510,319-4745,no,no,0,216.5,104,36.8,182.5,79,15.51,243.2,100,10.94,8.1,3,2.19,1,False
WA,143,510,392-5917,no,yes,29,251.6,114,42.77,215.2,77,18.29,212.0,118,9.54,7.7,2,2.08,5,True
TN,145,415,338-6083,yes,no,0,174.5,90,29.67,207.4,118,17.63,211.8,112,9.53,7.7,3,2.08,0,True
WI,141,415,318-5395,no,yes,27,163.6,102,27.81,157.1,98,13.35,245.2,87,11.03,12.2,5,3.29,4,True
CA,58,408,387-2655,yes,yes,15,255.0,122,43.35,161.1,82,13.69,229.6,106,10.33,11.2,5,3.02,1,False
TN,109,415,336-5773,no,no,0,136.3,112,23.17,204.5,93,17.38,206.0,110,9.27,7.2,3,1.94,5,False
SC,104,408,328-8891,yes,yes,20,136.1,102,23.14,140.7,101,11.96,194.8,106,8.77,8.6,2,2.32,0,True
AZ,58,415,320-7123,yes,yes,38,230.6,84,39.2,236.5,116,20.1,188.8,92,8.5,12.4,7,3.35,0,True
MO,62,408,338-9087,no,yes,20,197.5,119,33.58,223.9,94,19.03,197.3,118,8.88,9.4,7,2.54,5,False
TN,119,408,300-7144,yes,yes,21,240.8,107,40.94,236.2,76,20.08,153.0,94,6.88,13.2,7,3.56,0,False
IN,110,415,347-5781,no,yes,35,185.9,82,31.6,160.2,101,13.62,181.7,86,8.18,13.7,2,3.7,0,False
TN,121,415,386-1643,yes,no,0,251.7,99,42.79,156.7,85,13.32,230.7,92,10.38,8.8,3,2.38,2,True
WA,134,408,303-5291,yes,no,0,144.1,98,24.5,209.8,112,17.83,192.3,101,8.65,8.8,7,2.38,1,False
CO,116,408,348-1352,yes,yes,15,200.1,91,34.02,168.6,106,14.33,153.6,119,6.91,13.0,6,3.51,1,False
OH,82,408,390-9564,no,no,0,208.7,84,35.48,242.2,117,20.59,193.1,102,8.69,9.2,5,2.48,3,False
IL,116,415,351-5735,no,yes,28,210.6,81,35.8,198.6,106,16.88,216.7,110,9.75,11.8,6,3.19,0,False
TX,51,415,366-9056,yes,no,0,247.1,116,42.01,236.9,107,20.14,197.8,106,8.9,11.1,3,3.0,2,False
TX,115,510,308-8501,no,no,0,195.4,82,33.22,145.7,110,12.38,232.3,106,10.45,9.3,6,2.51,3,False
CA,70,510,333-7185,no,no,0,168.6,118,28.66,253.4,109,21.54,240.1,117,10.8,10.7,7,2.89,1,False
AZ,60,510,314-3685,no,yes,22,151.3,101,25.72,252.6,116,21.47,248.1,110,11.16,13.2,5,3.56,3,False
CO,137,415,383-6431,no,no,0,147.7,103,25.11,189.5,80,16.11,182.1,107,8.19,9.2,6,2.48,3,False
LA,81,408,312-3443,yes,no,0,206.5,122,35.11,202.3,93,17.2,177.4,85,7.98,9.6,7,2.59,4,True
GA,101,408,344-3717,no,no,0,159.7,101,27.15,212.6,120,18.07,198.2,105,8.92,7.1,5,1.92,5,True
LA,147,408,343-9819,yes,yes,30,165.1,115,28.07,190.0,120,16.15,244.9,111,11.02,10.8,2,2.92,5,False
WI,92,408,336-2609,no,no,0,230.7,113,39.22,235.5,114,20.02,158.6,106,7.14,10.5,7,2.83,3,False
TX,108,415,342-2350,no,yes,33,157.7,102,26.81,259.0,83,22.02,162.3,108,7.3,10.6,5,2.86,1,False
TX,110,415,389-1473,yes,no,0,173.2,116,29.44,160.9,94,13.68,216.9,89,9.76,8.0,5,2.16,5,True
CA,119,510,371-2758,no,no,0,213.5,118,36.3,248.4,88,21.11,193.2,95,8.69,9.1,4,2.46,2,False
MI,111,510,347-1177,yes,yes,27,137.3,121,23.34,169.9,99,14.44,231.1,89,10.4,8.1,5,2.19,4,True
FL,100,415,326-9236,yes,yes,16,162.0,92,27.54,197.3,120,16.77,192.0,111,8.64,12.5,3,3.38,1,False
NY,149,415,315-4018,yes,yes,18,237.8,101,40.43,216.6,117,18.41,203.1,104,9.14,7.8,5,2.11,5,True
VA,96,510,396-3791,yes,no,0,240.6,111,40.9,194.8,90,16.56,193.3,118,8.7,9.3,4,2.51,2,False
IL,77,408,378-3169,no,yes,39,170.7,104,29.02,254.0,84,21.59,191.4,102,8.61,7.7,7,2.08,5,False
PA,73,510,398-6672,yes,yes,38,122.1,88,20.76,232.9,95,19.8,179.0,100,8.05,8.8,3,2.38,0,True
TN,92,510,338-7646,yes,yes,37,161.8,97,27.51,201.8,118,17.15,241.5,115,10.87,13.8,6,3.73,4,True
PA,58,415,393-1065,yes,no,0,245.1,116,41.67,176.6,104,15.01,152.3,87,6.85,8.1,6,2.19,5,True
CO,112,415,338-4055,yes,yes,37,152.6,124,25.94,241.2,78,20.5,237.6,103,10.69,13.4,3,3.62,1,True
WI,112,510,374-2092,yes,yes,32,194.6,125,33.08,171.3,83,14.56,175.8,113,7.91,9.3,6,2.51,5,True
OH,84,415,376-6304,yes,no,0,181.9,84,30.92,170.4,115,14.48,235.5,116,10.6,9.8,6,2.65,3,True
TN,136,408,312-5019,no,yes,15,178.6,121,30.36,163.9,90,13.93,209.9,96,9.45,10.9,4,2.94,2,False
TX,59,510,312-8290,yes,no,0,192.4,96,32.71,185.4,96,15.76,234.1,100,10.53,8.2,2,2.21,2,True
AZ,97,510,303-8384,yes,no,0,182.9,101,31.09,224.7,83,19.1,242.5,115,10.91,7.6,6,2.05,0,True
CA,62,415,323-7705,no,yes,32,168.1,101,28.58,165.0,101,14.03,153.8,103,6.92,9.9,6,2.67,5,False
MO,52,415,361-6957,no,no,0,215.2,107,36.58,243.7,108,20.71,190.4,93,8.57,12.6,6,3.4,5,True
